DW_Dat_Dt,Cust_Id,Rpt_Id,Row_Id,Itm_Id,Cust_Nm,Rpt_Nm,Rpt_Clb_Cd,Rpt_Prd_Typ_Cd,Rpt_Afl_Mdl,Rpt_Dt,Aud_Ind,Rpt_Ccy_Cd,Rpt_Unt,Row_Id_Nm,End_Tm_Val,Cur_Val,Std_Val,Crt_Org_Id,Crt_Org_Nm,Upd_Dt,C2_TDW_NULL_IND
2017/12/21,209000674,0,Null,Null,广州广日股份有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"2,480,352,592.65",Null,Null,120,广州分行（全辖）,2017/5/18,Null
2017/12/21,219000111,0,Null,Null,中国宝武钢铁集团有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"404,526,278,414.83",Null,Null,121,上海分行（全辖）,2017/8/7,Null
2017/12/21,219003710,0,Null,Null,唐山港陆钢铁有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"7,936,773,996.24",Null,Null,755,深圳分行（全辖）,2017/3/22,Null
2017/12/21,229000804,0,Null,Null,天津荣程联合钢铁集团有限公司,资产负债表,合并,年报,new,201612,否,Null,Null,负债合计,"5,160,681,639.99",Null,Null,122,天津分行（全辖）,2017/2/16,Null
2017/12/21,229000804,0,Null,Null,天津荣程联合钢铁集团有限公司,资产负债表,本部,年报,new,201612,否,Null,Null,负债合计,"3,487,071,876.93",Null,Null,122,天津分行（全辖）,2017/2/16,Null
2017/12/21,239000252,0,Null,Null,重庆钢铁股份有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"36,545,888,000",Null,Null,123,重庆分行,2017/6/30,Null
2017/12/21,239001468,0,Null,Null,四川省川威集团有限公司,资产负债表,合并,年报,new,201612,否,Null,Null,负债合计,"14,913,526,266.11",Null,Null,128,成都分行（全辖）,2017/9/27,Null
2017/12/21,239001800,0,Null,Null,重庆秦安铸造有限公司,资产负债表,本部,年报,new,201612,否,Null,Null,负债合计,"734,093,067.52",Null,Null,123,重庆分行,2017/3/16,Null
2017/12/21,249000437,0,Null,Null,本溪钢铁（集团）有限责任公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"82,109,841,362.65",Null,Null,124,沈阳分行（全辖）,2017/5/31,Null
2017/12/21,279000748,0,Null,Null,武汉钢铁股份有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"62,328,613,921.80",Null,Null,127,武汉分行（全辖）,2017/5/16,Null
2017/12/21,279001282,0,Null,Null,武汉钢铁（集团）公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"119,501,845,532.86",Null,Null,127,武汉分行（全辖）,2017/5/4,Null
2017/12/21,1109026373,0,Null,Null,北京首钢股份有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"93,626,013,942.48",Null,Null,110,北京分行,2017/7/7,Null
2017/12/21,1209108446,0,Null,Null,宝钢湛江钢铁有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"45,167,624,622.56",Null,Null,120,广州分行（全辖）,2017/5/17,Null
2017/12/21,1219087822,0,Null,Null,平山县敬业冶炼有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"5,869,148,436.34",Null,Null,755,深圳分行（全辖）,2017/8/18,Null
2017/12/21,1229020040,0,Null,Null,河北津西钢铁集团股份有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"13,118,788,048",Null,Null,315,唐山分行,2017/5/24,Null
2017/12/21,1229023527,0,Null,Null,天津冶金集团有限公司,资产负债表,本部,年报,new,201612,否,Null,Null,负债合计,"11,607,322,983.10",Null,Null,122,天津分行（全辖）,2017/3/24,Null
2017/12/21,1229039492,0,Null,Null,天津冶金集团轧三钢铁有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"15,614,105,578.78",Null,Null,122,天津分行（全辖）,2017/8/25,Null
2017/12/21,1249021085,0,Null,Null,唐山不锈钢有限责任公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"7,036,201,194.92",Null,Null,315,唐山分行,2017/12/11,Null
2017/12/21,1249037039,0,Null,Null,辽宁方大集团实业有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"33,096,543,511.31",Null,Null,791,南昌分行（全辖）,2017/8/29,Null
2017/12/21,1259041723,0,Null,Null,南京南钢产业发展有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"16,645,251,482.85",Null,Null,125,南京分行（全辖）,2017/7/17,Null
2017/12/21,1279071717,0,Null,Null,武钢新日铁（武汉）镀锡板有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"2,905,329,011.18",Null,Null,127,武汉分行（全辖）,2017/4/18,Null
2017/12/21,1289043383,0,Null,Null,熠晖集团有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"342,104,038.40",Null,Null,128,成都分行（全辖）,2017/8/22,Null
2017/12/21,3119004003,0,Null,Null,河北中重冷轧材料有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"1,880,480,719.65",Null,Null,311,石家庄分行（全辖）,2017/12/14,Null
2017/12/21,3519000583,0,Null,Null,交城义望铁合金有限责任公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"776,961,860.23",Null,Null,351,太原分行（全辖）,2017/6/29,Null
2017/12/21,3519000583,0,Null,Null,交城义望铁合金有限责任公司,资产负债表,本部,年报,new,201612,否,Null,Null,负债合计,"950,925,248.53",Null,Null,351,太原分行（全辖）,2017/2/23,Null
2017/12/21,3719026244,0,Null,Null,沙钢集团安阳永兴钢铁有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"3,353,101,289.51",Null,Null,371,郑州分行（全辖）,2017/4/27,Null
2017/12/21,3719026357,0,Null,Null,河南龙成集团有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"7,792,307,249.10",Null,Null,371,郑州分行（全辖）,2017/6/29,Null
2017/12/21,4119000376,0,Null,Null,通化钢铁集团股份有限公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"35,315,981,464.65",Null,Null,124,沈阳分行（全辖）,2017/6/30,Null
2017/12/21,4119020556,0,Null,Null,五矿营口中板有限责任公司,资产负债表,本部,年报,new,201612,否,Null,Null,负债合计,"16,211,493,270.37",Null,Null,411,大连分行（全辖）,2017/6/21,Null
2017/12/21,4129000209,0,Null,Null,鞍钢集团公司,资产负债表,合并,年报,new,201612,是,Null,Null,负债合计,"249,925,632,083.35",Null,Null,124,沈阳分行（全辖）,2017/8/3,Null
2017/12/21,4319000667,0,Null,Null,长春一汽鞍井钢材加工配送有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"127,914,721",Null,Null,431,长春分行（全辖）,2017/8/2,Null
2017/12/21,4319000667,0,Null,Null,长春一汽鞍井钢材加工配送有限公司,资产负债表,本部,年报,new,201612,否,Null,Null,负债合计,"126,687,274.91",Null,Null,431,长春分行（全辖）,2017/3/13,Null
2017/12/21,4319009472,0,Null,Null,浦项通钢（吉林）钢材加工有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"206,301,283.82",Null,Null,431,长春分行（全辖）,2017/11/9,Null
2017/12/21,4359000221,0,Null,Null,营口钢铁有限公司,资产负债表,本部,年报,new,201612,是,Null,Null,负债合计,"3,920,515,898.07",Null,Null,431,长春分行（全辖）,2017/4/14,Null
